Date,Open,High,Low,Close,Adj Close,Volume
23-01-2018,306.399994,320.549988,306.350006,318.100006,310.34668,35252217
24-01-2018,317.700012,331.600006,316.200012,329.899994,321.8591,38070520
25-01-2018,332.75,332.75,311.850006,313.149994,305.517334,42466150
29-01-2018,313.149994,316.899994,311,312.100006,304.49292,23600898
30-01-2018,312.049988,318.850006,311,313.549988,305.907562,25810404
31-01-2018,313,316.600006,307.850006,313.25,305.614899,16409938
01-02-2018,316.899994,317.399994,305,306.049988,298.590393,19515991
02-02-2018,302.899994,305.75,295.5,297.350006,290.102448,23274673
05-02-2018,292.649994,300.399994,290,298.049988,290.78537,18940578
06-02-2018,285,297.299988,282.899994,291.75,284.638947,30577218
07-02-2018,296.600006,297.899994,290,292.799988,285.66333,21463818
08-02-2018,292.899994,303.299988,292.549988,301.399994,294.053741,18932796
09-02-2018,297,300.600006,295,296.399994,289.175598,15750824
12-02-2018,288.25,292.399994,285.149994,288.75,281.712067,50839665
14-02-2018,288.700012,288.700012,275,276.200012,269.467987,45641149
15-02-2018,274.799988,282.299988,274.25,278.700012,271.907043,26058237
16-02-2018,280.5,281.200012,270.049988,271.649994,265.028839,30338112
19-02-2018,271.5,272,256.649994,268.5,261.955627,43847791
20-02-2018,269,274.200012,264.799988,269.649994,263.077606,33458021
21-02-2018,272.200012,274.100006,267.399994,273.299988,266.638611,23714454
22-02-2018,270.399994,273.600006,269.450012,272.600006,265.955719,25584062
23-02-2018,273.450012,277.200012,272.5,276.049988,269.321594,15482147
26-02-2018,280,280,273.850006,274.450012,267.76062,15306032
27-02-2018,273,275.899994,265.950012,267.600006,261.077576,20824909
28-02-2018,264.25,269.700012,260.799988,268,261.467834,26810799
01-03-2018,266.299988,270,261.25,262.149994,255.760391,22859175
05-03-2018,260.450012,265,258.75,263.5,257.077515,18484565
06-03-2018,265.850006,266,255,256.549988,250.29689,20778164
07-03-2018,255.050003,255.350006,246.050003,246.649994,240.638199,31262500
08-03-2018,247,257.950012,244.300003,256.799988,250.540787,33133336
09-03-2018,257,257.399994,251.649994,253.25,247.077332,21536191
